FECHA (YYMMDD);HORA (HHMM);;
160104;1200;0;
160104;1300;0;
160104;1400;0;
160104;1500;0;
160104;1600;0;
160104;1700;0;
160104;1800;0;
160104;1900;0;
160104;2000;0;
160104;2100;0;
160104;2200;0;
160104;2300;0;
160105;0000;0;
160105;0100;0;
160105;0200;0;
160105;0300;0;
160105;0400;0;
160105;0500;0;
160105;0600;0;
160105;0700;0;
160105;0800;0;
160105;0900;0;
160105;1000;0;
160105;1100;0;
160105;1200;0;
160105;1300;0;
160105;1400;0;
160105;1500;0;
160105;1600;;
160105;1700;;
160105;1800;;
160105;1900;;
160105;2000;;
160105;2100;;
160105;2200;;
160105;2300;;
160106;0000;;
160106;0100;;
160106;0200;;
160106;0300;;
160106;0400;;
160106;0500;;
160106;0600;;
160106;0700;;
160106;0800;;
160106;0900;;
160106;1000;;
160106;1100;;
160106;1200;;
160106;1300;;
160106;1400;;
160106;1500;;
160106;1600;;
160106;1700;;
160106;1800;;
160106;1900;;
160106;2000;;
160106;2100;;
160106;2200;;
160106;2300;;
160107;0000;;
160107;0100;;
160107;0200;;
160107;0300;;
160107;0400;;
160107;0500;;
160107;0600;;
160107;0700;;
160107;0800;;
160107;0900;;
160107;1000;;
160107;1100;;
160107;1200;;
160107;1300;;
160107;1400;;
160107;1500;;
160107;1600;;
160107;1700;;
160107;1800;;
160107;1900;;
160107;2000;;
160107;2100;;
160107;2200;;
160107;2300;;
160108;0000;;
160108;0100;;
160108;0200;;
160108;0300;;
160108;0400;;
160108;0500;;
160108;0600;;
160108;0700;;
160108;0800;;
160108;0900;;
160108;1000;;
160108;1100;;
160108;1200;;
160108;1300;;
160108;1400;;
160108;1500;;
160108;1600;;
160108;1700;;
160108;1800;;
160108;1900;;
160108;2000;;
160108;2100;;
160108;2200;;
160108;2300;;
160109;0000;;
160109;0100;;
160109;0200;;
160109;0300;;
160109;0400;;
160109;0500;;
160109;0600;;
160109;0700;;
160109;0800;;
160109;0900;;
160109;1000;;
160109;1100;;
160109;1200;;
160109;1300;;
160109;1400;;
160109;1500;;
160109;1600;;
160109;1700;;
160109;1800;;
160109;1900;;
160109;2000;;
160109;2100;;
160109;2200;;
160109;2300;;
160110;0000;;
160110;0100;;
160110;0200;;
160110;0300;;
160110;0400;;
160110;0500;;
160110;0600;;
160110;0700;;
160110;0800;;
160110;0900;;
160110;1000;;
160110;1100;;
160110;1200;;
160110;1300;;
160110;1400;;
160110;1500;;
160110;1600;;
160110;1700;;
160110;1800;;
160110;1900;;
160110;2000;;
160110;2100;;
160110;2200;;
160110;2300;;
160111;0000;;
160111;0100;;
160111;0200;;
160111;0300;;
160111;0400;;
160111;0500;;
160111;0600;;
160111;0700;;
160111;0800;;
160111;0900;;
160111;1000;;
160111;1100;;
160111;1200;;
160111;1300;;
160111;1400;;
160111;1500;;
160111;1600;;
160111;1700;;
160111;1800;;
160111;1900;;
160111;2000;;
160111;2100;;
160111;2200;;
160111;2300;;
160112;0000;;
160112;0100;;
160112;0200;;
160112;0300;;
160112;0400;;
160112;0500;;
160112;0600;;
160112;0700;;
160112;0800;;
160112;0900;;
160112;1000;;
160112;1100;;
160112;1200;;
160112;1300;;
160112;1400;;
160112;1500;;
160112;1600;;
160112;1700;;
160112;1800;;
160112;1900;;
160112;2000;;
160112;2100;;
160112;2200;;
160112;2300;;
160113;0000;;
160113;0100;;
160113;0200;;
160113;0300;;
160113;0400;;
160113;0500;;
160113;0600;;
160113;0700;;
160113;0800;;
160113;0900;;
160113;1000;;
160113;1100;;
160113;1200;;
160113;1300;;
160113;1400;;
160113;1500;;
160113;1600;;
160113;1700;;
160113;1800;;
160113;1900;;
160113;2000;;
160113;2100;;
160113;2200;;
160113;2300;;
160114;0000;;
160114;0100;;
160114;0200;;
160114;0300;;
160114;0400;;
160114;0500;;
160114;0600;;
160114;0700;;
160114;0800;;
160114;0900;;
160114;1000;;
160114;1100;;
160114;1200;;
160114;1300;;
160114;1400;;
160114;1500;;
160114;1600;;
160114;1700;;
160114;1800;;
160114;1900;;
160114;2000;;
160114;2100;;
160114;2200;;
160114;2300;;
160115;0000;;
160115;0100;;
160115;0200;;
160115;0300;;
160115;0400;;
160115;0500;;
160115;0600;;
160115;0700;;
160115;0800;;
160115;0900;;
160115;1000;;
160115;1100;;
160115;1200;;
160115;1300;;
160115;1400;;
160115;1500;;
160115;1600;;
160115;1700;;
160115;1800;;
160115;1900;;
160115;2000;;
160115;2100;;
160115;2200;;
160115;2300;;
160116;0000;;
160116;0100;;
160116;0200;;
160116;0300;;
160116;0400;;
160116;0500;;
160116;0600;;
160116;0700;;
160116;0800;;
160116;0900;;
160116;1000;;
160116;1100;;
160116;1200;;
160116;1300;;
160116;1400;;
160116;1500;;
160116;1600;;
160116;1700;;
160116;1800;;
160116;1900;;
160116;2000;;
160116;2100;;
160116;2200;;
160116;2300;;
160117;0000;;
160117;0100;;
160117;0200;;
160117;0300;;
160117;0400;;
160117;0500;;
160117;0600;;
160117;0700;;
160117;0800;;
160117;0900;;
160117;1000;;
160117;1100;;
160117;1200;;
160117;1300;;
160117;1400;;
160117;1500;;
160117;1600;;
160117;1700;;
160117;1800;;
160117;1900;;
160117;2000;;
160117;2100;;
160117;2200;;
160117;2300;;
160118;0000;;
160118;0100;;
160118;0200;;
160118;0300;;
160118;0400;;
160118;0500;;
160118;0600;;
160118;0700;;
160118;0800;;
160118;0900;;
160118;1000;;
160118;1100;;
160118;1200;;
160118;1300;;
160118;1400;;
160118;1500;;
160118;1600;;
160118;1700;;
160118;1800;;
160118;1900;;
160118;2000;;
160118;2100;;
160118;2200;;
160118;2300;;
160119;0000;;
160119;0100;;
160119;0200;;
160119;0300;;
160119;0400;;
160119;0500;;
160119;0600;;
160119;0700;;
160119;0800;;
160119;0900;;
160119;1000;;
160119;1100;;
160119;1200;;
160119;1300;;
160119;1400;;
160119;1500;;
160119;1600;;
160119;1700;;
160119;1800;;
160119;1900;;
160119;2000;;
160119;2100;;
160119;2200;;
160119;2300;;
160120;0000;;
160120;0100;;
160120;0200;;
160120;0300;;
160120;0400;;
160120;0500;;
160120;0600;;
160120;0700;;
160120;0800;;
160120;0900;;
160120;1000;;
160120;1100;;
160120;1200;;
160120;1300;;
160120;1400;;
160120;1500;;
160120;1600;;
160120;1700;;
160120;1800;;
160120;1900;;
160120;2000;;
160120;2100;;
160120;2200;;
160120;2300;;
160121;0000;;
160121;0100;;
160121;0200;;
160121;0300;;
160121;0400;;
160121;0500;;
160121;0600;;
160121;0700;;
160121;0800;;
160121;0900;;
160121;1000;;
160121;1100;;
160121;1200;;
160121;1300;;
160121;1400;;
160121;1500;;
160121;1600;;
160121;1700;;
160121;1800;;
160121;1900;;
160121;2000;;
160121;2100;;
160121;2200;;
160121;2300;;
160122;0000;;
160122;0100;;
160122;0200;;
160122;0300;;
160122;0400;;
160122;0500;;
160122;0600;;
160122;0700;;
160122;0800;;
160122;0900;;
160122;1000;;
160122;1100;;
160122;1200;;
160122;1300;;
160122;1400;;
160122;1500;;
160122;1600;;
160122;1700;;
160122;1800;;
160122;1900;;
160122;2000;;
160122;2100;;
160122;2200;;
160122;2300;;
160123;0000;;
160123;0100;;
160123;0200;;
160123;0300;;
160123;0400;;
160123;0500;;
160123;0600;;
160123;0700;;
160123;0800;;
160123;0900;;
160123;1000;;
160123;1100;;
160123;1200;;
160123;1300;;
160123;1400;;
160123;1500;;
160123;1600;;
160123;1700;;
160123;1800;;
160123;1900;;
160123;2000;;
160123;2100;;
160123;2200;;
160123;2300;;
160124;0000;;
160124;0100;;
160124;0200;;
160124;0300;;
160124;0400;;
160124;0500;;
160124;0600;;
160124;0700;;
160124;0800;;
160124;0900;;
160124;1000;;
160124;1100;;
160124;1200;;
160124;1300;;
160124;1400;;
160124;1500;;
160124;1600;;
160124;1700;;
160124;1800;;
160124;1900;;
160124;2000;;
160124;2100;;
160124;2200;;
160124;2300;;
160125;0000;;
160125;0100;;
160125;0200;;
160125;0300;;
160125;0400;;
160125;0500;;
160125;0600;;
160125;0700;;
160125;0800;;
160125;0900;;
160125;1000;;
160125;1100;;
160125;1200;;
160125;1300;;
160125;1400;;
160125;1500;;
160125;1600;;
160125;1700;;
160125;1800;;
160125;1900;;
160125;2000;;
160125;2100;;
160125;2200;;
160125;2300;;
160126;0000;;
160126;0100;;
160126;0200;;
160126;0300;;
160126;0400;;
160126;0500;;
160126;0600;;
160126;0700;;
160126;0800;;
160126;0900;;
160126;1000;;
160126;1100;;
160126;1200;;
160126;1300;;
160126;1400;;
160126;1500;;
160126;1600;;
160126;1700;;
160126;1800;;
160126;1900;;
160126;2000;;
160126;2100;;
160126;2200;;
160126;2300;;
160127;0000;;
160127;0100;;
160127;0200;;
160127;0300;;
160127;0400;;
160127;0500;;
160127;0600;;
160127;0700;;
160127;0800;;
160127;0900;;
160127;1000;;
160127;1100;;
160127;1200;;
160127;1300;;
160127;1400;;
160127;1500;;
160127;1600;;
160127;1700;;
160127;1800;;
160127;1900;;
160127;2000;;
160127;2100;;
160127;2200;;
160127;2300;;
160128;0000;;
160128;0100;;
160128;0200;;
160128;0300;;
160128;0400;;
160128;0500;;
160128;0600;;
160128;0700;;
160128;0800;;
160128;0900;;
160128;1000;;
160128;1100;;
160128;1200;;
160128;1300;;
160128;1400;;
160128;1500;;
160128;1600;;
160128;1700;;
160128;1800;;
160128;1900;;
160128;2000;;
160128;2100;;
160128;2200;;
160128;2300;;
160129;0000;;
160129;0100;;
160129;0200;;
160129;0300;;
160129;0400;;
160129;0500;;
160129;0600;;
160129;0700;;
160129;0800;;
160129;0900;;
160129;1000;;
160129;1100;;
160129;1200;;
160129;1300;;
160129;1400;;
160129;1500;;
160129;1600;;
160129;1700;;
160129;1800;;
160129;1900;;
160129;2000;;
160129;2100;;
160129;2200;;
160129;2300;;
160130;0000;;
160130;0100;;
160130;0200;;
160130;0300;;
160130;0400;;
160130;0500;;
160130;0600;;
160130;0700;;
160130;0800;;
160130;0900;;
160130;1000;;
160130;1100;;
160130;1200;;
160130;1300;;
160130;1400;;
160130;1500;;
160130;1600;;
160130;1700;;
160130;1800;;
160130;1900;;
160130;2000;;
160130;2100;;
160130;2200;;
160130;2300;;
160131;0000;;
160131;0100;;
160131;0200;;
160131;0300;;
160131;0400;;
160131;0500;;
160131;0600;;
160131;0700;;
160131;0800;;
160131;0900;;
160131;1000;;
160131;1100;;
160131;1200;;
160131;1300;;
160131;1400;;
160131;1500;;
160131;1600;;
160131;1700;;
160131;1800;;
160131;1900;;
160131;2000;;
160131;2100;;
160131;2200;;
160131;2300;;
160201;0000;;
160201;0100;;
160201;0200;;
160201;0300;;
160201;0400;;
160201;0500;;
160201;0600;;
160201;0700;;
160201;0800;;
160201;0900;;
160201;1000;;
160201;1100;;
160201;1200;;
160201;1300;;
160201;1400;;
160201;1500;;
160201;1600;;
160201;1700;;
160201;1800;;
160201;1900;;
160201;2000;;
160201;2100;;
160201;2200;;
160201;2300;;
160202;0000;;
160202;0100;;
160202;0200;;
160202;0300;;
160202;0400;;
160202;0500;;
160202;0600;;
160202;0700;;
160202;0800;;
160202;0900;;
160202;1000;;
160202;1100;;
160202;1200;;
160202;1300;;
160202;1400;;
160202;1500;;
160202;1600;;
160202;1700;;
160202;1800;;
160202;1900;;
160202;2000;;
160202;2100;;
160202;2200;;
160202;2300;;
160203;0000;;
160203;0100;;
160203;0200;;
160203;0300;;
160203;0400;;
160203;0500;;
160203;0600;;
160203;0700;;
160203;0800;;
160203;0900;;
160203;1000;;
160203;1100;;
160203;1200;;
160203;1300;;
160203;1400;;
160203;1500;;
160203;1600;;
160203;1700;;
160203;1800;;
160203;1900;;
160203;2000;;
160203;2100;;
160203;2200;;
160203;2300;;
160204;0000;;
160204;0100;;
160204;0200;;
160204;0300;;
160204;0400;;
160204;0500;;
160204;0600;;
160204;0700;;
160204;0800;;
160204;0900;;
160204;1000;;
160204;1100;;
160204;1200;;
160204;1300;;
160204;1400;;
160204;1500;;
160204;1600;;
160204;1700;;
160204;1800;;
160204;1900;;
160204;2000;;
160204;2100;;
160204;2200;;
160204;2300;;
160205;0000;;
160205;0100;;
160205;0200;;
160205;0300;;
160205;0400;;
160205;0500;;
160205;0600;;
160205;0700;;
160205;0800;;
160205;0900;;
160205;1000;;
160205;1100;;
160205;1200;;
160205;1300;;
160205;1400;;
160205;1500;;
160205;1600;;
160205;1700;;
160205;1800;;
160205;1900;;
160205;2000;;
160205;2100;;
160205;2200;;
160205;2300;;
160206;0000;;
160206;0100;;
160206;0200;;
160206;0300;;
160206;0400;;
160206;0500;;
160206;0600;;
160206;0700;;
160206;0800;;
160206;0900;;
160206;1000;;
160206;1100;;
160206;1200;;
160206;1300;;
160206;1400;;
160206;1500;;
160206;1600;;
160206;1700;;
160206;1800;;
160206;1900;;
160206;2000;;
160206;2100;;
160206;2200;;
160206;2300;;
160207;0000;;
160207;0100;;
160207;0200;;
160207;0300;;
160207;0400;;
160207;0500;;
160207;0600;;
160207;0700;;
160207;0800;;
160207;0900;;
160207;1000;;
160207;1100;;
160207;1200;;
160207;1300;;
160207;1400;;
160207;1500;;
160207;1600;;
160207;1700;;
160207;1800;;
160207;1900;;
160207;2000;;
160207;2100;;
160207;2200;;
160207;2300;;
160208;0000;;
160208;0100;;
160208;0200;;
160208;0300;;
160208;0400;;
160208;0500;;
160208;0600;;
160208;0700;;
160208;0800;;
160208;0900;;
160208;1000;;
160208;1100;;
160208;1200;;
160208;1300;;
160208;1400;;
160208;1500;;
160208;1600;;
160208;1700;;
160208;1800;;
160208;1900;;
160208;2000;;
160208;2100;;
160208;2200;;
160208;2300;;
160209;0000;;
160209;0100;;
160209;0200;;
160209;0300;;
160209;0400;;
160209;0500;;
160209;0600;;
160209;0700;;
160209;0800;;
160209;0900;;
160209;1000;;
160209;1100;;
160209;1200;;
160209;1300;;
160209;1400;;
160209;1500;;
160209;1600;;
160209;1700;;
160209;1800;;
160209;1900;;
160209;2000;;
160209;2100;;
160209;2200;;
160209;2300;;
160210;0000;;
160210;0100;;
160210;0200;;
160210;0300;;
160210;0400;;
160210;0500;;
160210;0600;;
160210;0700;;
160210;0800;;
160210;0900;;
160210;1000;;
160210;1100;;
160210;1200;;
160210;1300;;
160210;1400;;
160210;1500;;
160210;1600;;
160210;1700;;
160210;1800;;
160210;1900;;
160210;2000;;
160210;2100;;
160210;2200;;
160210;2300;;
160211;0000;;
160211;0100;;
160211;0200;;
160211;0300;;
160211;0400;;
160211;0500;;
160211;0600;;
160211;0700;;
160211;0800;;
160211;0900;;
160211;1000;;
160211;1100;;
160211;1200;;
160211;1300;;
160211;1400;;
160211;1500;;
160211;1600;;
160211;1700;;
160211;1800;;
160211;1900;;
160211;2000;;
160211;2100;;
160211;2200;;
160211;2300;;
160212;0000;;
160212;0100;;
160212;0200;;
160212;0300;;
160212;0400;;
160212;0500;;
160212;0600;;
160212;0700;;
160212;0800;;
160212;0900;;
160212;1000;;
160212;1100;;
160212;1200;;
160212;1300;;
160212;1400;;
160212;1500;;
160212;1600;;
160212;1700;;
160212;1800;;
160212;1900;;
160212;2000;;
160212;2100;;
160212;2200;;
160212;2300;;
160213;0000;;
160213;0100;;
160213;0200;;
160213;0300;;
160213;0400;;
160213;0500;;
160213;0600;;
160213;0700;;
160213;0800;;
160213;0900;;
160213;1000;;
160213;1100;;
160213;1200;;
160213;1300;;
160213;1400;;
160213;1500;;
160213;1600;;
160213;1700;;
160213;1800;;
160213;1900;;
160213;2000;;
160213;2100;;
160213;2200;;
160213;2300;;
160214;0000;;
160214;0100;;
160214;0200;;
160214;0300;;
160214;0400;;
160214;0500;;
160214;0600;;
160214;0700;;
160214;0800;;
160214;0900;;
160214;1000;;
160214;1100;;
160214;1200;;
160214;1300;;
160214;1400;;
160214;1500;;
160214;1600;;
160214;1700;;
160214;1800;;
160214;1900;;
160214;2000;;
160214;2100;;
160214;2200;;
160214;2300;;
160215;0000;;
160215;0100;;
160215;0200;;
160215;0300;;
160215;0400;;
160215;0500;;
160215;0600;;
160215;0700;;
160215;0800;;
160215;0900;;
160215;1000;;
160215;1100;;
160215;1200;;
160215;1300;;
160215;1400;;
160215;1500;;
160215;1600;;
160215;1700;;
160215;1800;;
160215;1900;;
160215;2000;;
160215;2100;;
160215;2200;;
160215;2300;;
160216;0000;;
160216;0100;;
160216;0200;;
160216;0300;;
160216;0400;;
160216;0500;;
160216;0600;;
160216;0700;;
160216;0800;;
160216;0900;;
160216;1000;;
160216;1100;;
160216;1200;;
160216;1300;;
160216;1400;;
160216;1500;;
160216;1600;;
160216;1700;;
160216;1800;;
160216;1900;;
160216;2000;;
160216;2100;;
160216;2200;;
160216;2300;;
160217;0000;;
160217;0100;;
160217;0200;;
160217;0300;;
160217;0400;;
160217;0500;;
160217;0600;;
160217;0700;;
160217;0800;;
160217;0900;;
160217;1000;;
160217;1100;;
160217;1200;;
160217;1300;;
160217;1400;;
160217;1500;;
160217;1600;;
160217;1700;;
160217;1800;;
160217;1900;;
160217;2000;;
160217;2100;;
160217;2200;;
160217;2300;;
160218;0000;;
160218;0100;;
160218;0200;;
160218;0300;;
160218;0400;;
160218;0500;;
160218;0600;;
160218;0700;;
160218;0800;;
160218;0900;;
160218;1000;;
160218;1100;;
160218;1200;;
160218;1300;;
160218;1400;;
160218;1500;;
160218;1600;;
160218;1700;;
160218;1800;;
160218;1900;;
160218;2000;;
160218;2100;;
160218;2200;;
160218;2300;;
160219;0000;;
160219;0100;;
160219;0200;;
160219;0300;;
160219;0400;;
160219;0500;;
160219;0600;;
160219;0700;;
160219;0800;;
160219;0900;;
160219;1000;;
160219;1100;;
160219;1200;;
160219;1300;;
160219;1400;;
160219;1500;;
160219;1600;;
160219;1700;;
160219;1800;;
160219;1900;;
160219;2000;;
160219;2100;;
160219;2200;;
160219;2300;;
160220;0000;;
160220;0100;;
160220;0200;;
160220;0300;;
160220;0400;;
160220;0500;;
160220;0600;;
160220;0700;;
160220;0800;;
160220;0900;;
160220;1000;;
160220;1100;;
160220;1200;;
160220;1300;;
160220;1400;;
160220;1500;;
160220;1600;;
160220;1700;;
160220;1800;;
160220;1900;0;
160220;2000;0;
160220;2100;0;
160220;2200;0;
160220;2300;0;
160221;0000;0;
160221;0100;0;
160221;0200;0;
160221;0300;0;
160221;0400;0;
160221;0500;0;
160221;0600;0;
160221;0700;0;
160221;0800;0;
160221;0900;0;
160221;1000;0;
160221;1100;0;
160221;1200;0;
160221;1300;0;
160221;1400;0;
160221;1500;0;
160221;1600;0;
160221;1700;0;
160221;1800;0;
160221;1900;0;
160221;2000;0;
160221;2100;0;
160221;2200;0;
160221;2300;0;
160222;0000;0;
160222;0100;0;
160222;0200;0;
160222;0300;0;
160222;0400;0;
160222;0500;0;
160222;0600;0;
160222;0700;0;
160222;0800;0;
160222;0900;0;
160222;1000;0;
160222;1100;0;
160222;1200;0;
160222;1300;0;
160222;1400;0;
160222;1500;0;
160222;1600;0;
160222;1700;0;
160222;1800;0;
160222;1900;0;
160222;2000;0;
160222;2100;0;
160222;2200;0;
160222;2300;0;
160223;0000;0;
160223;0100;0;
160223;0200;0;
160223;0300;0;
160223;0400;0;
160223;0500;0;
160223;0600;0;
160223;0700;;
160223;0800;;
160223;0900;;
160223;1000;;
160223;1100;;
160223;1200;;
160223;1300;;
160223;1400;;
160223;1500;;
160223;1600;;
160223;1700;;
160223;1800;;
160223;1900;;
160223;2000;;
160223;2100;;
160223;2200;;
160223;2300;;
160224;0000;;
160224;0100;;
160224;0200;;
160224;0300;;
160224;0400;;
160224;0500;;
160224;0600;;
160224;0700;;
160224;0800;;
160224;0900;;
160224;1000;;
160224;1100;;
160224;1200;;
160224;1300;;
160224;1400;;
160224;1500;;
160224;1600;;
160224;1700;;
160224;1800;;
160224;1900;;
160224;2000;;
160224;2100;;
160224;2200;;
160224;2300;;
160225;0000;;
160225;0100;;
160225;0200;;
160225;0300;;
160225;0400;;
160225;0500;;
160225;0600;;
160225;0700;;
160225;0800;;
160225;0900;;
160225;1000;;
160225;1100;;
160225;1200;;
160225;1300;;
160225;1400;;
160225;1500;;
160225;1600;;
160225;1700;;
160225;1800;;
160225;1900;;
160225;2000;;
160225;2100;;
160225;2200;;
160225;2300;;
160226;0000;;
160226;0100;;
160226;0200;;
160226;0300;;
160226;0400;;
160226;0500;;
160226;0600;;
160226;0700;;
160226;0800;;
160226;0900;;
160226;1000;;
160226;1100;;
160226;1200;;
160226;1300;;
160226;1400;;
160226;1500;;
160226;1600;;
160226;1700;;
160226;1800;;
160226;1900;;
160226;2000;;
160226;2100;;
160226;2200;;
160226;2300;;
160227;0000;;
160227;0100;;
160227;0200;;
160227;0300;;
160227;0400;;
160227;0500;;
160227;0600;;
160227;0700;;
160227;0800;;
160227;0900;;
160227;1000;;
160227;1100;;
160227;1200;;
160227;1300;;
160227;1400;;
160227;1500;;
160227;1600;;
160227;1700;;
160227;1800;;
160227;1900;;
160227;2000;;
160227;2100;;
160227;2200;;
160227;2300;;
160228;0000;;
160228;0100;;
160228;0200;;
160228;0300;;
160228;0400;;
160228;0500;;
160228;0600;;
160228;0700;;
160228;0800;;
160228;0900;;
160228;1000;;
160228;1100;;
160228;1200;;
160228;1300;;
160228;1400;;
160228;1500;;
160228;1600;;
160228;1700;;
160228;1800;;
160228;1900;;
160228;2000;;
160228;2100;;
160228;2200;;
160228;2300;;
160229;0000;;
160229;0100;;
160229;0200;;
160229;0300;;
160229;0400;;
160229;0500;;
160229;0600;;
160229;0700;;
160229;0800;;
160229;0900;;
160229;1000;;
160229;1100;;
160229;1200;;
160229;1300;;
160229;1400;;
160229;1500;;
160229;1600;;
160229;1700;;
160229;1800;;
160229;1900;;
160229;2000;;
160229;2100;;
160229;2200;;
160229;2300;;
160301;0000;;
160301;0100;;
160301;0200;;
160301;0300;;
160301;0400;;
160301;0500;;
160301;0600;;
160301;0700;;
160301;0800;;
160301;0900;;
160301;1000;;
160301;1100;;
160301;1200;;
160301;1300;;
160301;1400;;
160301;1500;;
160301;1600;;
160301;1700;;
160301;1800;;
160301;1900;;
160301;2000;;
160301;2100;;
160301;2200;;
160301;2300;;
160302;0000;;
160302;0100;;
160302;0200;;
160302;0300;;
160302;0400;;
160302;0500;;
160302;0600;;
160302;0700;;
160302;0800;;
160302;0900;;
160302;1000;;
160302;1100;;
160302;1200;;
160302;1300;;
160302;1400;;
160302;1500;;
160302;1600;;
160302;1700;;
160302;1800;;
160302;1900;;
160302;2000;;
160302;2100;;
160302;2200;;
160302;2300;;
160303;0000;;
160303;0100;;
160303;0200;;
160303;0300;;
160303;0400;;
160303;0500;;
160303;0600;;
160303;0700;;
160303;0800;;
160303;0900;;
160303;1000;;
160303;1100;;
160303;1200;;
160303;1300;;
160303;1400;;
160303;1500;;
160303;1600;;
160303;1700;;
160303;1800;;
160303;1900;;
160303;2000;;
160303;2100;;
160303;2200;;
160303;2300;;
160304;0000;;
160304;0100;;
160304;0200;;
160304;0300;;
160304;0400;;
160304;0500;;
160304;0600;;
160304;0700;;
160304;0800;;
160304;0900;;
160304;1000;;
160304;1100;;
160304;1200;;
160304;1300;;
160304;1400;;
160304;1500;0;
160304;1600;0;
160304;1700;0;
160304;1800;0;
160304;1900;0;
160304;2000;0;
160304;2100;0;
160304;2200;0;
160304;2300;0;
160305;0000;0;
160305;0100;0;
160305;0200;0;
160305;0300;0;
160305;0400;0;
160305;0500;0;
160305;0600;0;
160305;0700;0;
160305;0800;0;
160305;0900;0;
160305;1000;0;
160305;1100;0;
160305;1200;0;
160305;1300;0;
160305;1400;0;
160305;1500;0;
160305;1600;0;
160305;1700;0;
160305;1800;0;
160305;1900;0;
160305;2000;0;
160305;2100;0;
160305;2200;0;
160305;2300;0;
160306;0000;0;
160306;0100;0;
160306;0200;0;
160306;0300;0;
160306;0400;0;
160306;0500;0;
160306;0600;0;
160306;0700;0;
160306;0800;0;
160306;0900;0;
160306;1000;0;
160306;1100;0;
160306;1200;0;
160306;1300;0;
160306;1400;0;
160306;1500;0;
160306;1600;0;
160306;1700;0;
160306;1800;0;
160306;1900;0;
160306;2000;0;
160306;2100;0;
160306;2200;0;
160306;2300;0;
160307;0000;0;
160307;0100;0;
160307;0200;0;
160307;0300;;
160307;0400;;
160307;0500;;
160307;0600;;
160307;0700;;
160307;0800;;
160307;0900;;
160307;1000;;
160307;1100;;
160307;1200;;
160307;1300;;
160307;1400;;
160307;1500;;
160307;1600;;
160307;1700;;
160307;1800;;
160307;1900;;
160307;2000;;
160307;2100;;
160307;2200;;
160307;2300;;
160308;0000;;
160308;0100;;
160308;0200;;
160308;0300;;
160308;0400;;
160308;0500;;
160308;0600;;
160308;0700;;
160308;0800;;
160308;0900;;
160308;1000;;
160308;1100;;
160308;1200;;
160308;1300;;
160308;1400;;
160308;1500;;
160308;1600;;
160308;1700;;
160308;1800;;
160308;1900;;
160308;2000;;
160308;2100;;
160308;2200;;
160308;2300;;
160309;0000;;
160309;0100;;
160309;0200;;
160309;0300;;
160309;0400;;
160309;0500;;
160309;0600;;
160309;0700;;
160309;0800;;
160309;0900;;
160309;1000;;
160309;1100;;
160309;1200;;
160309;1300;;
160309;1400;;
160309;1500;;
160309;1600;;
160309;1700;;
160309;1800;;
160309;1900;;
160309;2000;;
160309;2100;;
160309;2200;;
160309;2300;;
160310;0000;;
160310;0100;;
160310;0200;;
160310;0300;;
160310;0400;;
160310;0500;;
160310;0600;;
160310;0700;;
160310;0800;;
160310;0900;;
160310;1000;;
160310;1100;;
160310;1200;;
160310;1300;;
160310;1400;;
160310;1500;;
160310;1600;;
160310;1700;;
160310;1800;;
160310;1900;;
160310;2000;;
160310;2100;;
160310;2200;;
160310;2300;;
160311;0000;;
160311;0100;;
160311;0200;;
160311;0300;;
160311;0400;;
160311;0500;;
160311;0600;;
160311;0700;;
160311;0800;;
160311;0900;;
160311;1000;;
160311;1100;;
160311;1200;;
160311;1300;;
160311;1400;;
160311;1500;;
160311;1600;;
160311;1700;;
160311;1800;;
160311;1900;;
160311;2000;;
160311;2100;;
160311;2200;;
160311;2300;;
160312;0000;;
160312;0100;;
160312;0200;;
160312;0300;;
160312;0400;;
160312;0500;;
160312;0600;;
160312;0700;;
160312;0800;;
160312;0900;;
160312;1000;;
160312;1100;;
160312;1200;;
160312;1300;;
160312;1400;;
160312;1500;;
160312;1600;;
160312;1700;;
160312;1800;;
160312;1900;;
160312;2000;;
160312;2100;;
160312;2200;;
160312;2300;;
160313;0000;;
160313;0100;;
160313;0200;;
160313;0300;;
160313;0400;;
160313;0500;;
160313;0600;;
160313;0700;;
160313;0800;;
160313;0900;;
160313;1000;;
160313;1100;;
160313;1200;;
160313;1300;;
160313;1400;;
160313;1500;;
160313;1600;;
160313;1700;;
160313;1800;;
160313;1900;;
160313;2000;;
160313;2100;;
160313;2200;;
160313;2300;;
160314;0000;;
160314;0100;;
160314;0200;;
160314;0300;;
160314;0400;;
160314;0500;;
160314;0600;;
160314;0700;;
160314;0800;;
160314;0900;;
160314;1000;;
160314;1100;;
160314;1200;;
160314;1300;;
160314;1400;;
160314;1500;;
160314;1600;;
160314;1700;;
160314;1800;;
160314;1900;;
160314;2000;;
160314;2100;;
160314;2200;;
160314;2300;;
160315;0000;;
160315;0100;;
160315;0200;;
160315;0300;;
160315;0400;;
160315;0500;;
160315;0600;;
160315;0700;;
160315;0800;;
160315;0900;;
160315;1000;;
160315;1100;;
160315;1200;;
160315;1300;;
160315;1400;;
160315;1500;;
160315;1600;;
160315;1700;;
160315;1800;;
160315;1900;;
160315;2000;;
160315;2100;;
160315;2200;;
160315;2300;;
160316;0000;;
160316;0100;;
160316;0200;;
160316;0300;;
160316;0400;;
160316;0500;;
160316;0600;;
160316;0700;;
160316;0800;;
160316;0900;;
160316;1000;;
160316;1100;;
